FIRST NAME,LAST NAME,SEX,DOJ,CURRENT DATE,DESIGNATION,AGE,UNIT,LEAVES USED,LEAVES REMAINING,RATINGS,PAST EXP,SALARY,DAY,DAY NAME,MONTH,YEAR
NETTIE,ANDRADA,F,2014-07-11,2016-01-07,Analyst,23.0,Operations,15,15,5.0,1,40541,11,Friday,7,2014
WENDI,APPERT,F,2013-12-02,2016-01-07,Analyst,25.0,Web,28,2,2.0,2,43920,2,Monday,12,2013
BRENT,ABRIL,M,2013-02-11,2016-01-07,Analyst,21.0,Management,28,2,2.0,0,45832,11,Monday,2,2013
HARRIETTE,ARMSTRONG,F,2014-01-22,2016-01-07,Analyst,23.0,Marketing,17,13,2.0,0,48102,22,Wednesday,1,2014
GARLAND,AGLER,M,2014-09-07,2016-01-07,Analyst,21.0,Management,30,0,5.0,0,48662,7,Sunday,9,2014
OSWALDO,ALLENBAUGH,M,2013-02-15,2016-01-07,Analyst,25.0,Operations,15,15,2.0,1,49685,15,Friday,2,2013
SEYMOUR,ALBEN,M,2014-12-21,2016-01-07,Senior Analyst,25.0,Operations,25,5,3.0,0,57488,21,Sunday,12,2014
ROXANNE,AMRINE,F,2013-03-13,2016-01-07,Analyst,21.0,Marketing,29,1,2.0,0,45410,13,Wednesday,3,2013
CLAUD,ALLATEEF,M,2013-05-07,2016-01-07,Analyst,21.0,Management,22,8,5.0,0,43030,7,Tuesday,5,2013
MARIANNA,ARGENTIERI,F,2014-11-07,2016-01-07,Analyst,22.0,Management,30,0,5.0,0,42388,7,Friday,11,2014
FOSTER,ALDERMAN,M,2014-05-22,2016-01-07,Senior Analyst,26.0,Operations,28,2,5.0,3,68295,22,Thursday,5,2014
MAUDIE,ARENIVAR,F,2011-08-06,2016-01-07,Associate,29.0,Web,30,0,5.0,2,73397,6,Saturday,8,2011
TORI,ARCE,F,2013-12-16,2016-01-07,Analyst,22.0,Management,27,3,2.0,0,47008,16,Monday,12,2013
KELLEY,ALLAM,M,2014-07-30,2016-01-07,Analyst,23.0,Marketing,19,11,5.0,1,49898,30,Wednesday,7,2014
HILLARY,ANTONIA,F,2014-12-17,2016-01-07,Analyst,23.0,Management,27,3,2.0,1,45389,17,Wednesday,12,2014
MICKEY,AGRAMONTE,M,2013-03-25,2016-01-07,Analyst,22.0,Web,29,1,3.0,0,49326,25,Monday,3,2013
ROSIE,AMILL,F,2013-02-18,2016-01-07,Analyst,24.0,Web,24,6,4.0,0,49901,18,Monday,2,2013
GAVIN,AINI,M,2014-11-18,2016-01-07,Analyst,24.0,IT,23,7,2.0,2,42529,18,Tuesday,11,2014
ANNABELLE,ANTROBUS,F,2014-03-23,2016-01-07,Analyst,25.0,Finance,25,5,5.0,2,44448,23,Sunday,3,2014
CHRISTINE,ALPHONSE,F,2011-08-26,2016-01-07,Senior Manager,39.0,Marketing,30,0,4.0,13,175497,26,Friday,8,2011
MELODIE,ARMENT,F,2014-07-01,2016-01-07,Analyst,25.0,IT,21,9,4.0,2,47739,1,Tuesday,7,2014
MICHELL,ARCH,F,2014-01-31,2016-01-07,Analyst,25.0,Web,25,5,4.0,2,49046,31,Friday,1,2014
ANDREW,ABALOZ,M,2014-03-31,2016-01-07,Analyst,25.0,Operations,20,10,3.0,2,47961,31,Monday,3,2014
LUCRETIA,ARGYLE,F,2014-04-26,2016-01-07,Associate,29.0,Operations,23,7,2.0,5,96378,26,Saturday,4,2014
JODY,ADOLFO,M,2015-01-07,2016-01-07,Associate,32.0,IT,16,14,4.0,9,76411,7,Wednesday,1,2015
GILDA,ARANCIBIA,F,2013-05-22,2016-01-07,Analyst,23.0,Web,24,6,2.0,0,40264,22,Wednesday,5,2013
JOSPEH,ALLIS,M,2014-02-26,2016-01-07,Analyst,22.0,Web,20,10,2.0,0,45364,26,Wednesday,2,2014
KING,ALIMENT,M,2013-07-05,2016-01-07,Analyst,22.0,Web,27,3,4.0,0,42013,5,Friday,7,2013
KURT,ACEVEDO,M,2013-07-22,2016-01-07,Analyst,25.0,Marketing,24,6,5.0,2,42362,22,Monday,7,2013
LYNNETTE,APRUZZESE,F,2013-11-18,2016-01-07,Analyst,25.0,Finance,26,4,5.0,2,44620,18,Monday,11,2013
DANIELA,ARIAIL,F,2014-08-25,2016-01-07,Analyst,23.0,Operations,23,7,5.0,1,43285,25,Monday,8,2014
CARI,ARENALES,F,2014-04-10,2016-01-07,Senior Analyst,28.0,Web,24,6,3.0,5,66338,10,Thursday,4,2014
ANGELITA,ARAGUS,F,2013-08-04,2016-01-07,Analyst,25.0,IT,27,3,4.0,2,46436,4,Sunday,8,2013
ISABELLE,ANGERMAN,F,2013-04-19,2016-01-07,Analyst,24.0,Management,28,2,3.0,0,49705,19,Friday,4,2013
NORBERT,AHALT,M,2014-03-27,2016-01-07,Analyst,21.0,Management,19,11,3.0,0,40095,27,Thursday,3,2014
PAULINE,ALTSHULER,F,2014-12-13,2016-01-07,Senior Analyst,28.0,Finance,28,2,4.0,3,61647,13,Saturday,12,2014
JANETTE,ANEZ,F,2014-08-17,2016-01-07,Analyst,21.0,Marketing,22,8,3.0,0,42811,17,Sunday,8,2014
CHARLENE,AMANO,F,2013-12-25,2016-01-07,Analyst,25.0,Finance,15,15,2.0,2,47365,25,Wednesday,12,2013
HOWARD,ABDELWAHED,M,2013-08-20,2016-01-07,Analyst,22.0,Operations,18,12,5.0,0,45721,20,Tuesday,8,2013
PAUL,AANENSON,M,2013-07-05,2016-01-07,Analyst,25.0,Web,25,5,2.0,1,49976,5,Friday,7,2013
CORTEZ,ALLINDER,M,2013-04-19,2016-01-07,Analyst,21.0,Marketing,21,9,2.0,0,42650,19,Friday,4,2013
AHMAD,ALCANTARA,M,2015-01-18,2016-01-07,Analyst,25.0,Management,27,3,3.0,3,44632,18,Sunday,1,2015
JONAH,ALEWINE,M,2014-07-28,2016-01-07,Analyst,25.0,Operations,15,15,3.0,3,48389,28,Monday,7,2014
DARIN,AFABLE,M,2013-10-22,2016-01-07,Analyst,21.0,Operations,18,12,2.0,0,48665,22,Tuesday,10,2013
ALONSO,ALMANZA,M,2013-04-05,2016-01-07,Associate,31.0,Management,21,9,4.0,6,72886,5,Friday,4,2013
RENE,ANKLAM,F,2014-06-08,2016-01-07,Analyst,21.0,IT,28,2,5.0,0,45225,8,Sunday,6,2014
RILEY,AIKINS,M,2013-06-16,2016-01-07,Senior Analyst,25.0,Finance,26,4,4.0,0,60712,16,Sunday,6,2013
WYATT,ALBERTS,M,2013-10-07,2016-01-07,Analyst,24.0,Operations,17,13,3.0,1,41290,7,Monday,10,2013
KIMBERLEE,ARCIGA,F,2014-05-16,2016-01-07,Analyst,21.0,IT,18,12,2.0,0,44993,16,Friday,5,2014
KRISTA,AMRICH,F,2013-08-21,2016-01-07,Analyst,24.0,IT,22,8,4.0,1,46118,21,Wednesday,8,2013
MARYJANE,ARES,F,2012-08-24,2016-01-07,Senior Analyst,25.0,Management,29,1,5.0,1,65212,24,Friday,8,2012
SAVANNAH,APREA,F,2011-12-20,2016-01-07,Senior Manager,38.0,Operations,19,11,4.0,9,193621,20,Tuesday,12,2011
NATALIE,AMALONG,F,2013-11-25,2016-01-07,Analyst,23.0,Marketing,19,11,2.0,0,44223,25,Monday,11,2013
MARY,ALMESTICA,F,2013-10-12,2016-01-07,Senior Analyst,27.0,Finance,26,4,2.0,1,53339,12,Saturday,10,2013
KAYLA,AMLIN,F,2014-07-07,2016-01-07,Analyst,24.0,Web,29,1,3.0,1,43638,7,Monday,7,2014
JULIAN,ACKERLEY,M,2013-06-03,2016-01-07,Analyst,22.0,Marketing,21,9,2.0,0,44963,3,Monday,6,2013
JO,AMBLER,F,2014-05-01,2016-01-07,Analyst,21.0,Marketing,22,8,3.0,0,42686,1,Thursday,5,2014
KASEY,APFEL,F,2014-09-01,2016-01-07,Analyst,21.0,Web,22,8,2.0,0,40381,1,Monday,9,2014
IONA,ARGALL,F,2013-05-02,2016-01-07,Analyst,21.0,Finance,15,15,5.0,0,48461,2,Thursday,5,2013
ALBERTA,AMIS,F,2013-02-15,2016-01-07,Analyst,25.0,Marketing,18,12,4.0,1,46584,15,Friday,2,2013
WILMER,AKIONA,M,2014-05-30,2016-01-07,Senior Analyst,25.0,IT,25,5,3.0,0,50739,30,Friday,5,2014
MELVIN,ABERNATHA,M,2014-07-28,2016-01-07,Associate,31.0,Management,17,13,3.0,5,82083,28,Monday,7,2014
CORA,AMESQUITA,F,2014-12-22,2016-01-07,Analyst,23.0,Operations,27,3,2.0,1,40324,22,Monday,12,2014
EVERETT,ACHILLES,M,2014-11-20,2016-01-07,Analyst,23.0,Management,26,4,3.0,1,44001,20,Thursday,11,2014
DOTTIE,ARDREY,F,2013-08-17,2016-01-07,Analyst,22.0,Management,30,0,3.0,0,43059,17,Saturday,8,2013
CORINE,APAEZ,F,2014-09-25,2016-01-07,Analyst,24.0,Finance,30,0,2.0,2,41685,25,Thursday,9,2014
DARIO,ALESSI,M,2012-03-11,2016-01-07,Associate,28.0,Operations,26,4,4.0,0,95982,11,Sunday,3,2012
HILDA,AMBROSIUS,F,2013-06-17,2016-01-07,Analyst,23.0,Management,26,4,3.0,0,44699,17,Monday,6,2013
ELOISA,ARGIE,F,2013-08-07,2016-01-07,Senior Analyst,28.0,Marketing,30,0,5.0,3,52690,7,Wednesday,8,2013
HEIDI,AMAZAN,F,2014-02-15,2016-01-07,Analyst,21.0,Management,18,12,4.0,0,40041,15,Saturday,2,2014
KATELYN,APPENZELLER,F,2014-11-02,2016-01-07,Senior Analyst,28.0,Finance,16,14,5.0,3,56314,2,Sunday,11,2014
WILLIS,ADAN,M,2014-02-16,2016-01-07,Analyst,25.0,Operations,26,4,3.0,2,49785,16,Sunday,2,2014
RUTH,ALO,F,2013-11-21,2016-01-07,Analyst,24.0,Web,29,1,5.0,1,41284,21,Thursday,11,2013
JOSEFA,APPLEWHAITE,F,2014-05-19,2016-01-07,Analyst,22.0,Finance,26,4,5.0,0,40562,19,Monday,5,2014
OSCAR,ABLING,M,2013-08-01,2016-01-07,Analyst,22.0,Operations,30,0,2.0,0,46741,1,Thursday,8,2013
ROOSEVELT,ADES,M,2014-02-12,2016-01-07,Analyst,24.0,Operations,28,2,2.0,1,45100,12,Wednesday,2,2014
MARVIN,ABELS,M,2014-09-15,2016-01-07,Analyst,22.0,IT,23,7,5.0,0,41712,15,Monday,9,2014
MARCELLA,AMY,F,2014-05-17,2016-01-07,Analyst,24.0,Operations,20,10,4.0,1,47069,17,Saturday,5,2014
KARL,ACCETTURO,M,2013-04-19,2016-01-07,Analyst,25.0,Web,28,2,3.0,1,40460,19,Friday,4,2013
WALTER,ABATE,M,2013-02-26,2016-01-07,Analyst,24.0,Finance,28,2,4.0,0,47068,26,Tuesday,2,2013
ELIZA,ANSBACHER,F,2013-09-30,2016-01-07,Senior Analyst,25.0,Marketing,26,4,2.0,0,50813,30,Monday,9,2013
YONG,ALDERFER,M,2010-04-22,2016-01-07,Manager,33.0,Operations,22,8,4.0,3,129191,22,Thursday,4,2010
ALVA,ALAMPI,M,2014-12-19,2016-01-07,Analyst,24.0,Operations,28,2,5.0,2,46749,19,Friday,12,2014
REINA,ARMAGOST,F,2011-10-15,2016-01-07,Manager,33.0,Finance,15,15,2.0,6,108665,15,Saturday,10,2011
ERICKA,ANTHONY,F,2012-12-06,2016-01-07,Associate,32.0,Management,23,7,5.0,5,76964,6,Thursday,12,2012
LUIGI,ALLYNE,M,2013-12-19,2016-01-07,Analyst,24.0,Marketing,21,9,3.0,1,47417,19,Thursday,12,2013
JEFFEREY,ALEXY,M,2014-04-16,2016-01-07,Analyst,21.0,IT,25,5,5.0,0,47669,16,Wednesday,4,2014
ROBERT,ARCAND,F,2014-06-16,2016-01-07,Analyst,21.0,Finance,20,10,3.0,0,40318,16,Monday,6,2014
HAYWOOD,ALKINS,M,2013-09-01,2016-01-07,Analyst,23.0,IT,17,13,2.0,0,46743,1,Sunday,9,2013
STAN,AGRESTO,M,2014-05-08,2016-01-07,Analyst,25.0,Management,20,10,2.0,2,40060,8,Thursday,5,2014
BETTIE,ANDUJAR,F,2013-10-20,2016-01-07,Analyst,25.0,Management,20,10,3.0,2,46129,20,Sunday,10,2013
ALLAN,ACEVES,M,2013-04-09,2016-01-07,Senior Manager,38.0,Marketing,19,11,4.0,10,189435,9,Tuesday,4,2013
ELEANORE,ARENA,F,2013-03-20,2016-01-07,Senior Analyst,26.0,Management,27,3,2.0,0,62537,20,Wednesday,3,2013
ERIC,ABAJIAN,M,2013-09-17,2016-01-07,Analyst,24.0,Management,17,13,5.0,1,44145,17,Tuesday,9,2013
LEIGH,ANAWALT,F,2014-10-02,2016-01-07,Analyst,22.0,Marketing,23,7,5.0,0,47998,2,Thursday,10,2014
ARON,ALBOR,M,2014-01-17,2016-01-07,Analyst,25.0,Marketing,16,14,2.0,2,49310,17,Friday,1,2014
KAREN,ALMSTEAD,F,2014-03-21,2016-01-07,Analyst,24.0,Management,17,13,4.0,1,49235,21,Friday,3,2014
KENDRICK,AHIMUD,M,2013-04-26,2016-01-07,Senior Analyst,26.0,Finance,26,4,3.0,0,68245,26,Friday,4,2013
LAKESHA,ARDEN,F,2014-10-19,2016-01-07,Analyst,23.0,Finance,25,5,5.0,1,47498,19,Sunday,10,2014
JUNIOR,AGORAS,M,2014-11-30,2016-01-07,Analyst,25.0,Finance,26,4,4.0,3,40636,30,Sunday,11,2014
ERNESTINE,AMUSO,F,2013-01-03,2016-01-07,Analyst,25.0,Operations,25,5,4.0,1,45233,3,Thursday,1,2013
TERESITA,ARENTZ,F,2013-11-03,2016-01-07,Senior Analyst,27.0,Finance,16,14,4.0,4,53275,3,Sunday,11,2013
ESTHER,ALTSCHULER,F,2013-07-18,2016-01-07,Analyst,24.0,Web,17,13,5.0,1,43540,18,Thursday,7,2013
BERRY,ALDONZA,M,2015-01-20,2016-01-07,Analyst,21.0,Management,30,0,5.0,0,40275,20,Tuesday,1,2015
WENDELL,ACREE,M,2013-12-11,2016-01-07,Analyst,21.0,Web,28,2,5.0,0,44361,11,Wednesday,12,2013
RUBEN,ABSHEAR,M,2013-05-20,2016-01-07,Analyst,25.0,Web,16,14,2.0,1,41936,20,Monday,5,2013
PATTIE,ARGUIN,F,2013-04-13,2016-01-07,Analyst,21.0,Finance,25,5,5.0,0,45830,13,Saturday,4,2013
ISABEL,AMICI,F,2013-07-23,2016-01-07,Analyst,23.0,Web,28,2,3.0,0,44521,23,Tuesday,7,2013
BRODERICK,ALMERICO,M,2014-08-04,2016-01-07,Analyst,22.0,Management,18,12,3.0,0,45997,4,Monday,8,2014
JEREMY,ABDELLA,M,2013-12-07,2016-01-07,Analyst,25.0,Finance,19,11,2.0,2,44218,7,Saturday,12,2013
KELLI,AMORIELLO,F,2013-10-07,2016-01-07,Manager,35.0,Finance,28,2,2.0,12,140926,7,Monday,10,2013
MARIETTA,APPLEBAUM,F,2014-09-03,2016-01-07,Analyst,21.0,Operations,23,7,3.0,0,48886,3,Wednesday,9,2014
CHADWICK,ALATOSSE,M,2014-09-11,2016-01-07,Analyst,23.0,Operations,26,4,3.0,1,49081,11,Thursday,9,2014
NONA,APODACA,F,2014-02-26,2016-01-07,Analyst,23.0,Operations,28,2,2.0,0,42195,26,Wednesday,2,2014
JON,ABOLT,M,2013-02-01,2016-01-07,Senior Analyst,25.0,Marketing,22,8,3.0,0,50130,1,Friday,2,2013
JORDON,ALLARA,M,2014-12-01,2016-01-07,Senior Analyst,25.0,Finance,30,0,3.0,0,55472,1,Monday,12,2014
LAWRENCE,ABBOT,M,2013-05-21,2016-01-07,Analyst,25.0,Operations,17,13,5.0,1,43269,21,Tuesday,5,2013
LEANNE,ANNABEL,F,2013-09-23,2016-01-07,Analyst,22.0,Operations,17,13,2.0,0,43712,23,Monday,9,2013
LES,ALCIVAR,M,2014-12-07,2016-01-07,Analyst,25.0,Marketing,24,6,5.0,3,42377,7,Sunday,12,2014
DEIDRA,ARCHANGEL,F,2012-10-05,2016-01-07,Senior Analyst,28.0,Operations,24,6,3.0,0,69316,5,Friday,10,2012
GERI,ARDENEAUX,F,2013-08-27,2016-01-07,Analyst,23.0,Marketing,29,1,2.0,0,46418,27,Tuesday,8,2013
MANUAL,ALLFORD,M,2014-08-14,2016-01-07,Senior Analyst,28.0,Marketing,17,13,3.0,5,65566,14,Thursday,8,2014
CELESTINE,ARGIRO,F,2013-10-19,2016-01-07,Analyst,24.0,Finance,25,5,2.0,1,48976,19,Saturday,10,2013
JAVIER,ACEDO,M,2013-04-15,2016-01-07,Analyst,23.0,Marketing,24,6,4.0,0,43760,15,Monday,4,2013
CAREN,ARGO,F,2013-05-20,2016-01-07,Analyst,22.0,Operations,21,9,4.0,0,41047,20,Monday,5,2013
DEBBIE,ALUARADO,F,2013-12-08,2016-01-07,Analyst,25.0,Operations,30,0,2.0,2,43225,8,Sunday,12,2013
MICHAEL,AAGAARD,M,2015-01-21,2016-01-07,Analyst,22.0,Marketing,25,5,2.0,0,42361,21,Wednesday,1,2015
MARLENE,AMAYA,F,2014-09-15,2016-01-07,Analyst,22.0,Management,26,4,4.0,0,43835,15,Monday,9,2014
HESTER,ARAGAO,F,2014-02-07,2016-01-07,Analyst,25.0,Operations,24,6,5.0,2,47326,7,Friday,2,2014
ULYSSES,AILTS,M,2012-09-28,2016-01-07,Senior Analyst,25.0,Marketing,19,11,3.0,0,61221,28,Friday,9,2012
INES,ARB,F,2013-12-30,2016-01-07,Analyst,21.0,Finance,17,13,4.0,0,42943,30,Monday,12,2013
JESSE,ABDULKARIM,M,2013-09-04,2016-01-07,Analyst,23.0,Operations,24,6,3.0,0,48751,4,Wednesday,9,2013
CLAY,AERTS,M,2013-06-22,2016-01-07,Analyst,22.0,Finance,23,7,4.0,0,42136,22,Saturday,6,2013
MERCEDES,ANASTASI,F,2013-06-24,2016-01-07,Analyst,21.0,Web,27,3,5.0,0,42472,24,Monday,6,2013
BRANDON,ABBY,M,2013-03-23,2016-01-07,Analyst,22.0,IT,26,4,4.0,0,46677,23,Saturday,3,2013
BILL,ABOSHIHATA,M,2014-12-03,2016-01-07,Analyst,25.0,Web,28,2,5.0,3,45977,3,Wednesday,12,2014
ALFREDO,ACHZIGER,M,2014-11-25,2016-01-07,Analyst,25.0,Web,18,12,5.0,3,41345,25,Tuesday,11,2014
NICOLE,ALSOBROOK,F,2010-06-27,2016-01-07,Director,41.0,Marketing,23,7,3.0,10,323196,27,Sunday,6,2010
GOLDIE,ANERTON,F,2014-10-16,2016-01-07,Analyst,22.0,Marketing,19,11,2.0,0,42727,16,Thursday,10,2014
ELIAS,ADSIT,M,2012-05-27,2016-01-07,Senior Analyst,25.0,Marketing,18,12,5.0,0,53218,27,Sunday,5,2012
SUN,ARDIZZONE,F,2013-07-12,2016-01-07,Analyst,21.0,IT,21,9,3.0,0,48422,12,Friday,7,2013
BOOKER,AKRIGHT,M,2013-10-14,2016-01-07,Associate,32.0,IT,23,7,4.0,6,83066,14,Monday,10,2013
LEEANN,ARCHILA,F,2013-09-22,2016-01-07,Analyst,21.0,Operations,29,1,2.0,0,41627,22,Sunday,9,2013
DEREK,ABOULISSAN,M,2013-02-13,2016-01-07,Director,42.0,Marketing,27,3,2.0,18,388112,13,Wednesday,2,2013
DAWN,ALTIER,F,2013-11-12,2016-01-07,Analyst,23.0,Web,25,5,3.0,0,44469,12,Tuesday,11,2013
SHELTON,AKUCHIE,M,2014-11-07,2016-01-07,Analyst,24.0,Marketing,23,7,3.0,2,41109,7,Friday,11,2014
LEOPOLDO,ALBORN,M,2014-12-03,2016-01-07,Analyst,23.0,Operations,27,3,4.0,1,43924,3,Wednesday,12,2014
DARREN,ACERO,M,2013-12-26,2016-01-07,Senior Analyst,25.0,Operations,23,7,4.0,2,64232,26,Thursday,12,2013
ARMANDO,ACHENBACH,M,2013-03-23,2016-01-07,Analyst,22.0,Operations,19,11,2.0,0,49644,23,Saturday,3,2013
DELPHINE,AREVALO,F,2009-01-23,2016-01-07,Director,43.0,Web,15,15,2.0,11,284733,23,Friday,1,2009
IDA,ALVIRA,F,2014-03-17,2016-01-07,Analyst,22.0,Operations,20,10,4.0,0,48802,17,Monday,3,2014
ALECIA,ARIANO,F,2013-12-13,2016-01-07,Analyst,21.0,IT,21,9,4.0,0,41748,13,Friday,12,2013
JUAN,ABBASSI,M,2013-07-01,2016-01-07,Senior Analyst,27.0,Finance,20,10,2.0,1,61575,1,Monday,7,2013
YOLANDA,ALWAN,F,2013-12-17,2016-01-07,Analyst,24.0,Marketing,25,5,3.0,1,46062,17,Tuesday,12,2013
EMMA,ALTSISI,F,2013-04-02,2016-01-07,Analyst,25.0,Finance,18,12,2.0,1,40251,2,Tuesday,4,2013
OCTAVIO,ALAMEIDA,M,2014-12-09,2016-01-07,Analyst,21.0,Management,16,14,2.0,0,42416,9,Tuesday,12,2014
LEILA,ANNUNZIATA,F,2014-05-30,2016-01-07,Analyst,22.0,Finance,18,12,5.0,0,43951,30,Friday,5,2014
CECIL,ABUD,M,2014-01-10,2016-01-07,Analyst,25.0,Finance,19,11,2.0,2,47903,10,Friday,1,2014
CHARLES,ARMSTER,F,2013-05-07,2016-01-07,Analyst,22.0,Operations,27,3,3.0,0,45275,7,Tuesday,5,2013
FELIX,ACHESON,M,2014-09-16,2016-01-07,Senior Analyst,26.0,Finance,28,2,5.0,1,61046,16,Tuesday,9,2014
JAQUELINE,AREHART,F,2014-01-04,2016-01-07,Analyst,25.0,Web,15,15,4.0,2,48204,4,Saturday,1,2014
GALE,ANNARUMO,F,2013-06-23,2016-01-07,Senior Analyst,27.0,Operations,23,7,3.0,1,51053,23,Sunday,6,2013
FRANCIS,ABERSON,M,2014-09-28,2016-01-07,Analyst,22.0,Operations,16,14,2.0,0,42560,28,Sunday,9,2014
TAMMI,APADACA,F,2014-12-02,2016-01-07,Analyst,25.0,Marketing,20,10,2.0,3,40947,2,Tuesday,12,2014
LOUELLA,ARBRY,F,2012-06-04,2016-01-07,Senior Analyst,28.0,IT,30,0,2.0,0,68432,4,Monday,6,2012
JOYCE,ALQUIJAY,F,2014-05-28,2016-01-07,Analyst,24.0,Management,24,6,4.0,1,44561,28,Wednesday,5,2014
MARGUERITE,AMICK,F,2012-02-13,2016-01-07,Senior Analyst,26.0,Operations,27,3,2.0,1,63882,13,Monday,2,2012
KENTON,ALEXANDRA,M,2013-12-11,2016-01-07,Analyst,23.0,Finance,21,9,2.0,0,45903,11,Wednesday,12,2013
CODY,ACEUEDO,M,2013-01-01,2016-01-07,Analyst,23.0,Web,28,2,3.0,0,48470,1,Tuesday,1,2013
FRANKIE,ANETSBERGER,F,2014-01-28,2016-01-07,Analyst,23.0,Finance,24,6,4.0,0,45704,28,Tuesday,1,2014
MILLICENT,ARAMBOLES,F,2013-12-21,2016-01-07,Senior Analyst,25.0,Management,18,12,5.0,0,57064,21,Saturday,12,2013
DEE,ALEVEDO,M,2014-04-13,2016-01-07,Analyst,22.0,IT,15,15,2.0,0,48546,13,Sunday,4,2014
ZELMA,ANTONELLI,F,2013-09-28,2016-01-07,Senior Analyst,28.0,Operations,25,5,3.0,5,50044,28,Saturday,9,2013
PEARL,AMARA,F,2013-06-24,2016-01-07,Analyst,21.0,Marketing,16,14,2.0,0,41604,24,Monday,6,2013
CARIDAD,ARMWOOD,F,2014-06-11,2016-01-07,Analyst,23.0,Finance,23,7,3.0,0,45022,11,Wednesday,6,2014
ELDON,AGOFF,M,2011-09-11,2016-01-07,Manager,33.0,Web,24,6,4.0,8,107432,11,Sunday,9,2011
SHANDA,ARJONA,F,2013-02-28,2016-01-07,Analyst,24.0,IT,26,4,4.0,0,45499,28,Thursday,2,2013
HEATH,AGNES,M,2013-04-12,2016-01-07,Analyst,22.0,Marketing,26,4,2.0,0,47846,12,Friday,4,2013
ROCIO,ARCURI,F,2012-09-07,2016-01-07,Senior Analyst,28.0,Operations,29,1,3.0,1,67299,7,Friday,9,2012
MARJORIE,ALTRECHE,F,2014-11-26,2016-01-07,Analyst,24.0,Web,21,9,2.0,2,48047,26,Wednesday,11,2014
CYRUS,ALANIS,M,2010-12-06,2016-01-07,Senior Manager,36.0,Finance,20,10,3.0,8,186356,6,Monday,12,2010
ISABELL,ARKINS,F,2013-11-23,2016-01-07,Analyst,22.0,Operations,26,4,5.0,0,48539,23,Saturday,11,2013
ROBBIE,ANGUS,F,2014-12-13,2016-01-07,Analyst,22.0,Marketing,18,12,2.0,0,45146,13,Saturday,12,2014
TIFFANY,ALTIZER,F,2012-02-01,2016-01-07,Senior Analyst,25.0,IT,26,4,3.0,0,67321,1,Wednesday,2,2012
JODIE,ANIELLO,F,2014-10-29,2016-01-07,Analyst,24.0,IT,27,3,2.0,2,43137,29,Wednesday,10,2014
